Sentence, Aspect
friendly helpful staff, service
great local cusine opted traditional rice curry werent disappointed and delicious, food
staff great service attentiveness made us fellwelcome, service
great place vis welcome great place visit, place
people friendly hospitality find place casuality best stay, place
food delicious kitchen super fast preper dish, food
hotel perfect spend daysto rest take fly preper dish hotel perfect spend days rest take f rest take fly preper dish hotel perfect spend days rest take fly, food
sat downstairs near river mosquitos everywheredont even think without coils, place
food is quite good, food
low prices, price
friendly staff, service
close anuradhapura secred city and good environment echo friendly new experience, place
restaurant nice view malwathu oya tables arranged near river, place
foods also delicious, food
accommodations good, food
small unique place lot privacy, place
good food beverages, food
reasonable prices, price
good friendly staff, service
place gorgeous right bank river, place
enjoyed lovely meal, food
friendliness staff, service
beutiful spot, place
staff friendly helpful help everything ask, service
manager staff friendly, service
went quick dinner indian chinese local food menu tried chinese food okay, food
wait time ordering since guests kitchen was busy, place
 reasonable price, price
delicious intimately cooked meal authentic local eatery, food
super friendly team, service
great meal little paradise vegan vegetarian liked food, food
good price would recommend, price
waiter friendly even gave us complementary dessert, service
simply great meal, food
budget frills great value money, price
amazing tastes, food
owner staff attentive friendly service, service
place served best food since long time 's fix menu amazing one plates astonishing everything absolute dream, place
food excellent, food
inexpensive, price
service great recommend, service
great place, place
enjoyed delicious food, food
atmosphere also nice one best place, place
cute small place, place
food good, food
waiter nice, service
get menu great chicken curry meal and food tasty, food
fast service, service
food really good, food
staff friendly 's, service
cute quiet place come back, place
lovely food, food
quiet neighbourhood nice green garden, place
kind staff, service
best meal, food
great service, service
good price, price
food good, food
cook friendly and lovely, service
lovely staff surprised us, service
great mild food spicy cuisine, food
extremely friendly great, place
cute restaurant, place
lovely people hosting us, food
remarkable price highly recommend, price
warm ambiance diverse menu make perfect enjoyable evening, place
attentive staff, service
delicious food exceeded expectations memorable experience, food
 family friendly dining spot, place
